Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_240deg_2.5V_25_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,240,70,-0.1790572117363904,-0.05699568068819734,-0.005968573724546346,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_310deg_2.5V_32_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,310,70,-0.03922973270422132,-0.012487211752101221,-0.0013076577568073774,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_280deg_2.5V_29_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,280,70,-4.101094475838326,-1.3054189158330705,-0.13670314919461085,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_210deg_2.5V_22_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,210,70,-0.019919931786272653,-0.006340711219677323,-0.0006639977262090885,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_240deg_2.5V_25_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,240,70,-0.4320514020849432,-0.13752623262320546,-0.01440171340283144,-2.0046334004779354,0.02887015571142665
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_110deg_2.5V_12_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,110,70,0.06798801475851975,0.021641257239646303,0.0022662671586173248,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_140deg_2.5V_15_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,140,70,8.056515397849752,2.564468499327512,0.2685505132616584,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_70deg_2.5V_8_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,70,70,0.8437628298001308,0.2685780503197928,0.02812542766000436,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_180deg_2.5V_19_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,180,70,-0.07639185736340695,-0.024316283422714437,-0.0025463952454468984,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_310deg_2.5V_32_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,310,70,0.001247034405804768,0.00039694337977898677,4.15678135268256e-05,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_280deg_2.5V_29_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,280,70,-0.33520020108586984,-0.10669753785642698,-0.011173340036195661,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_210deg_2.5V_22_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,210,70,8.678408607519083,2.762423256115829,0.2892802869173028,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_250deg_2.5V_26_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,250,70,-0.5711551194567087,-0.18180432106755434,-0.01903850398189029,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_110deg_2.5V_12_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,110,70,0.04786155237324453,0.015234805288507004,0.001595385079108151,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_310deg_2.5V_32_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,310,70,0.051246076373182736,0.01631213273771364,0.001708202545772758,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_80deg_2.5V_9_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,80,70,2.6225580574473364,0.834786156776445,0.08741860191491121,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_140deg_2.5V_15_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,140,70,6.356817836831474,2.0234379621329173,0.21189392789438247,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_180deg_2.5V_19_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,180,70,5.949500133952783,1.8937847104889578,0.1983166711317594,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_280deg_2.5V_29_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,280,70,-0.14485864684636668,-0.046109939390404905,-0.004828621561545556,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_210deg_2.5V_22_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,210,70,0.15690433768325035,0.04994420186969849,0.0052301445894416786,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_110deg_2.5V_12_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,110,70,0.377370562535152,0.12012078080967731,0.012579018751171733,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_320deg_2.5V_33_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,320,70,-0.0242594692270595,-0.007722028888544482,-0.0008086489742353166,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_80deg_2.5V_9_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,80,70,0.10473920006432098,0.0333395228514553,0.0034913066688106995,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_250deg_2.5V_26_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,250,70,-0.22661602282868318,-0.07213412043402145,-0.007553867427622773,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_150deg_2.5V_16_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,150,70,0.3764859882125547,0.11983921205773025,0.01254953294041849,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_180deg_2.5V_19_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,180,70,-0.104900250385249,-0.03339078676077976,-0.0034966750128416334,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_280deg_2.5V_29_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,280,70,-0.02504739725238234,-0.007972834168606014,-0.000834913241746078,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_220deg_2.5V_23_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,220,70,-0.19405663685158162,-0.06177014598943615,-0.006468554561719387,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_250deg_2.5V_26_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,250,70,-0.10614164068957192,-0.033785933567258446,-0.0035380546896523974,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_80deg_2.5V_9_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,80,70,5.669802666503719,1.8047542414593518,0.18899342221679064,2.8864059199470034,0.545511732717588
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_110deg_2.5V_12_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,110,70,6.107438470494788,1.944058044417701,0.20358128234982628,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_150deg_2.5V_16_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,150,70,10.75672084915464,3.4239705892052217,0.358557361638488,2.5768024775526444,0.9239314978147953
